                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.333,                  3.046,                 1.2553,                      1,                0.04285,                0.68565,                0.41919,                 1.2197,                 2.7352,                 1.0592,             0.00031438,             0.00031438,             0.00031438
                      2,                  1.184,                 1.6516,                 1.1307,                      1,                0.34955,                0.73819,                0.45895,                 1.3952,                 2.7954,                 1.3294,             0.00063668,             0.00063668,             0.00063668
                      3,                 1.2023,                 1.4234,                 1.1593,                0.99113,                0.39075,                0.76695,                0.47595,                 1.2784,                 2.6772,                  1.244,             0.00095248,             0.00095248,             0.00095248
                      4,                 1.1242,                 1.2929,                  1.155,                0.92231,                 0.6872,                0.81836,                0.50795,                 1.2528,                 1.8218,                 1.3705,              0.0012618,              0.0012618,              0.0012618
                      5,                 1.1144,                 1.2527,                 1.1499,                0.88582,                0.72917,                0.81119,                0.50118,                 1.2432,                 1.5154,                 1.3341,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1282,                 1.2126,                 1.1661,                0.85739,                0.80875,                0.88238,                0.56631,                 1.2164,                 1.2624,                 1.3058,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.0999,                 1.1174,                 1.1438,                0.92984,                0.79415,                0.84816,                0.54624,                 1.3127,                 1.2558,                 1.4061,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.0561,                 1.0017,                 1.1052,                0.88385,                0.72076,                0.80422,                0.53839,                 1.2234,                 1.5359,                 1.3204,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.0313,                0.97355,                 1.1063,                0.94362,                0.79986,                0.84964,                0.55233,                 1.2578,                 1.2406,                 1.3565,                0.00133,                0.00133,                0.00133
                     10,                 1.0737,                0.98143,                 1.1338,                0.92897,                0.81193,                0.84391,                0.55516,                 1.1716,                 1.2645,                 1.2592,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0066,                0.91595,                 1.1036,                0.86264,                0.80344,                 0.8134,                0.52923,                 1.2413,                 1.2053,                 1.2996,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0105,                0.88242,                 1.1082,                0.90198,                0.81418,                0.84163,                 0.5435,                 1.2045,                 1.1519,                 1.3211,              0.0012875,              0.0012875,              0.0012875
                     13,                 0.9672,                0.84665,                  1.096,                0.89042,                0.81829,                 0.8623,                0.56337,                 1.1884,                 1.0204,                 1.3024,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0234,                0.85541,                 1.1216,                0.90049,                0.78779,                0.83587,                0.54063,                 1.2533,                 1.0765,                 1.3089,              0.0012592,              0.0012592,              0.0012592
                     15,                0.97804,                 0.8098,                 1.0973,                0.82104,                0.89947,                0.89258,                0.61339,                 1.1891,                0.88142,                 1.2791,              0.0012451,              0.0012451,              0.0012451
                     16,                0.97836,                0.79448,                 1.0843,                 0.8742,                0.83972,                0.88075,                0.59974,                 1.1807,                0.91075,                 1.2976,              0.0012309,              0.0012309,              0.0012309
                     17,                0.96117,                0.77168,                 1.0965,                0.91279,                0.85862,                 0.8923,                0.60276,                 1.2269,                0.88169,                 1.3238,              0.0012168,              0.0012168,              0.0012168
                     18,                 0.9637,                0.75973,                 1.1097,                0.93935,                 0.7984,                0.87383,                0.55936,                 1.3069,                0.90528,                 1.3749,              0.0012026,              0.0012026,              0.0012026
                     19,                0.94573,                0.74887,                  1.091,                0.93763,                0.80766,                0.82827,                0.54832,                 1.1823,                 1.0103,                 1.3053,              0.0011885,              0.0011885,              0.0011885
                     20,                0.94856,                0.73036,                 1.0853,                0.90199,                0.81152,                0.85965,                0.55409,                 1.2917,                0.99634,                 1.3709,              0.0011744,              0.0011744,              0.0011744
